ID,Text,Scene
1,now let's learn the basics,Gobu Tutorial
2,above is the score and gold count,Gobu Tutorial
3,the score will increase as you play and connect nodes,Gobu Tutorial
4,"to do this drag your finger over a set of atleast 3 matching nodes, like this",Gobu Tutorial
5,"be careful though sometimes bad nodes will spawn, these nodes can only be cleared with power-ups",Gobu Tutorial
6,these nodes are broken nodes that can't be matched anymore you will need to use the Super Bomb,Gobu Tutorial
7,"Great! now these colourful nodes here are rainbow nodes, mixed nodes that have joined, use a Super Colour Remover on them",Gobu Tutorial
8,Great! now that bar below your score is this Mooblings happiness,Gobu Tutorial
9,when Mooblings get happy they fall asleep so raise that bar by connecting nodes,Gobu Tutorial
10,"here let me help you, when a moobling falls asleep gold coins will start too fall onto the board",Gobu Tutorial
11,by connecting 3 or more gold pieces together they will be added to you gold total,Gobu Tutorial
12,now one last thing when a Moobling falls asleep the score multiplier indicated by the red number,Gobu Tutorial
13,"will increase so your score will also increase faster, put lots of Mooblings to sleep",Gobu Tutorial
14,but once a Moobling wakes up your mulitiplier will go back down,Gobu Tutorial
15,"well thats everything for now, return to the main scene and start collecting",Gobu Tutorial
